date,daily_trips
2011-01-01,959
2011-01-02,781
2011-01-03,1301
2011-01-04,1536
2011-01-05,1571
2011-01-06,1573
2011-01-07,1493
2011-01-08,939
2011-01-09,802
2011-01-10,1298
2011-01-11,1231
2011-01-12,1141
2011-01-13,1383
2011-01-14,1384
2011-01-15,1240
2011-01-16,1188
2011-01-17,993
2011-01-18,672
2011-01-19,1631
2011-01-20,1896
2011-01-21,1522
2011-01-22,969
2011-01-23,977
2011-01-24,1405
2011-01-25,1971
2011-01-26,500
2011-01-27,424
2011-01-28,1151
2011-01-29,1070
2011-01-30,1084
2011-01-31,1418
2011-02-01,1331
2011-02-02,1502
2011-02-03,1534
2011-02-04,1691
2011-02-05,992
2011-02-06,1603
2011-02-07,1687
2011-02-08,1510
2011-02-09,1592
2011-02-10,1520
2011-02-11,1724
2011-02-12,1455
2011-02-13,1558
2011-02-14,1892
2011-02-15,1780
2011-02-16,2079
2011-02-17,2443
2011-02-18,2892
2011-02-19,1609
2011-02-20,1787
2011-02-21,1093
2011-02-22,1432
2011-02-23,1879
2011-02-24,1786
2011-02-25,1443
2011-02-26,1943
2011-02-27,2371
2011-02-28,1430
2011-03-01,1832
2011-03-02,2109
2011-03-03,1659
2011-03-04,1923
2011-03-05,2054
2011-03-06,582
2011-03-07,1842
2011-03-08,2097
2011-03-09,1868
2011-03-10,616
2011-03-11,1953
2011-03-12,2104
2011-03-13,2375
2011-03-14,2032
2011-03-15,2024
2011-03-16,2172
2011-03-17,2718
2011-03-18,3194
2011-03-19,3056
2011-03-20,2418
2011-03-21,2058
2011-03-22,2667
2011-03-23,2101
2011-03-24,1844
2011-03-25,2186
2011-03-26,2458
2011-03-27,1665
2011-03-28,2004
2011-03-29,2397
2011-03-30,1519
2011-03-31,1668
2011-04-01,2192
2011-04-02,2225
2011-04-03,3212
2011-04-04,3079
2011-04-05,1768
2011-04-06,2776
2011-04-07,3001
2011-04-08,1454
2011-04-09,2428
2011-04-10,2850
2011-04-11,3304
2011-04-12,1997
2011-04-13,2128
2011-04-14,3210
2011-04-15,3083
2011-04-16,775
2011-04-17,3678
2011-04-18,3369
2011-04-19,3139
2011-04-20,3898
2011-04-21,3992
2011-04-22,1648
2011-04-23,3970
2011-04-24,4116
2011-04-25,4021
2011-04-26,4331
2011-04-27,3809
2011-04-28,3996
2011-04-29,4437
2011-04-30,5214
2011-05-01,3295
2011-05-02,4329
2011-05-03,4366
2011-05-04,2595
2011-05-05,4338
2011-05-06,4536
2011-05-07,4616
2011-05-08,4245
2011-05-09,4283
2011-05-10,4733
2011-05-11,4104
2011-05-12,4770
2011-05-13,4038
2011-05-14,3352
2011-05-15,4484
2011-05-16,3909
2011-05-17,4067
2011-05-18,3812
2011-05-19,4503
2011-05-20,4844
2011-05-21,5731
2011-05-22,4596
2011-05-23,4224
2011-05-24,4422
2011-05-25,4917
2011-05-26,4631
2011-05-27,4622
2011-05-28,4693
2011-05-29,4743
2011-05-30,4047
2011-05-31,3940
2011-06-01,3931
2011-06-02,4912
2011-06-03,5242
2011-06-04,5248
2011-06-05,4859
2011-06-06,4488
2011-06-07,4783
2011-06-08,4358
2011-06-09,3889
2011-06-10,4540
2011-06-11,4902
2011-06-12,4407
2011-06-13,4969
2011-06-14,4829
2011-06-15,5123
2011-06-16,3725
2011-06-17,4772
2011-06-18,5054
2011-06-19,4676
2011-06-20,3967
2011-06-21,4769
2011-06-22,4445
2011-06-23,4724
2011-06-24,4930
2011-06-25,5114
2011-06-26,5241
2011-06-27,4655
2011-06-28,4580
2011-06-29,5155
2011-06-30,5456
2011-07-01,5296
2011-07-02,5052
2011-07-03,4591
2011-07-04,5975
2011-07-05,4614
2011-07-06,4569
2011-07-07,4507
2011-07-08,3979
2011-07-09,5268
2011-07-10,4827
2011-07-11,4040
2011-07-12,4207
2011-07-13,4289
2011-07-14,5017
2011-07-15,5475
2011-07-16,5847
2011-07-17,5245
2011-07-18,4404
2011-07-19,4469
2011-07-20,4273
2011-07-21,3737
2011-07-22,3348
2011-07-23,3241
2011-07-24,3562
2011-07-25,3790
2011-07-26,4510
2011-07-27,4602
2011-07-28,4346
2011-07-29,3819
2011-07-30,4417
2011-07-31,4262
2011-08-01,4216
2011-08-02,4804
2011-08-03,3529
2011-08-04,4529
2011-08-05,4818
2011-08-06,4245
2011-08-07,3737
2011-08-08,4276
2011-08-09,4550
2011-08-10,4710
2011-08-11,4737
2011-08-12,4848
2011-08-13,4085
2011-08-14,3774
2011-08-15,4281
2011-08-16,4673
2011-08-17,4642
2011-08-18,3756
2011-08-19,4102
2011-08-20,5104
2011-08-21,3809
2011-08-22,4699
2011-08-23,5818
2011-08-24,5064
2011-08-25,3490
2011-08-26,4607
2011-08-27,1105
2011-08-28,4289
2011-08-29,4576
2011-08-30,5148
2011-08-31,4999
2011-09-01,5059
2011-09-02,4682
2011-09-03,4426
2011-09-04,4901
2011-09-05,3310
2011-09-06,2666
2011-09-07,1964
2011-09-08,1810
2011-09-09,3510
2011-09-10,5270
2011-09-11,4957
2011-09-12,4638
2011-09-13,4713
2011-09-14,4736
2011-09-15,3612
2011-09-16,4693
2011-09-17,4462
2011-09-18,4228
2011-09-19,4467
2011-09-20,3593
2011-09-21,4305
2011-09-22,4743
2011-09-23,2367
2011-09-24,5353
2011-09-25,4960
2011-09-26,4587
2011-09-27,4069
2011-09-28,3877
2011-09-29,4793
2011-09-30,5150
2011-10-01,2402
2011-10-02,2884
2011-10-03,3529
2011-10-04,4405
2011-10-05,4771
2011-10-06,4717
2011-10-07,4925
2011-10-08,5337
2011-10-09,5445
2011-10-10,5052
2011-10-11,4503
2011-10-12,2392
2011-10-13,2882
2011-10-14,3592
2011-10-15,5136
2011-10-16,4971
2011-10-17,4519
2011-10-18,4699
2011-10-19,2398
2011-10-20,4152
