Month,Day_Of_Month,Normal_Max_Temp_F,Normal_Max_Temp_C,Normal_Min_Temp_F,Normal_Min_Temp_C,Normal_Precipitation_IN,Normal_Precipitation_CM
1,1,46,7.77777777777778,32,0,0.09,0.2286
1,2,45,7.22222222222222,31,-0.555555555555556,0.09,0.2286
1,3,45,7.22222222222222,31,-0.555555555555556,0.1,0.254
1,4,45,7.22222222222222,31,-0.555555555555556,0.09,0.2286
1,5,45,7.22222222222222,31,-0.555555555555556,0.1,0.254
1,6,45,7.22222222222222,31,-0.555555555555556,0.09,0.2286
1,7,45,7.22222222222222,31,-0.555555555555556,0.1,0.254
1,8,45,7.22222222222222,31,-0.555555555555556,0.09,0.2286
1,9,45,7.22222222222222,30,-1.11111111111111,0.09,0.2286
1,10,45,7.22222222222222,30,-1.11111111111111,0.09,0.2286
1,11,45,7.22222222222222,30,-1.11111111111111,0.1,0.254
1,12,45,7.22222222222222,30,-1.11111111111111,0.09,0.2286
1,13,45,7.22222222222222,30,-1.11111111111111,0.09,0.2286
1,14,44,6.66666666666667,30,-1.11111111111111,0.1,0.254
1,15,44,6.66666666666667,30,-1.11111111111111,0.09,0.2286
1,16,44,6.66666666666667,30,-1.11111111111111,0.1,0.254
1,17,44,6.66666666666667,30,-1.11111111111111,0.09,0.2286
1,18,44,6.66666666666667,30,-1.11111111111111,0.09,0.2286
1,19,44,6.66666666666667,30,-1.11111111111111,0.09,0.2286
1,20,45,7.22222222222222,30,-1.11111111111111,0.09,0.2286
1,21,45,7.22222222222222,30,-1.11111111111111,0.09,0.2286
1,22,45,7.22222222222222,30,-1.11111111111111,0.09,0.2286
1,23,45,7.22222222222222,30,-1.11111111111111,0.1,0.254
1,24,45,7.22222222222222,30,-1.11111111111111,0.09,0.2286
1,25,45,7.22222222222222,30,-1.11111111111111,0.09,0.2286
1,26,45,7.22222222222222,30,-1.11111111111111,0.09,0.2286
1,27,45,7.22222222222222,30,-1.11111111111111,0.08,0.2032
1,28,45,7.22222222222222,30,-1.11111111111111,0.1,0.254
1,29,45,7.22222222222222,30,-1.11111111111111,0.09,0.2286
1,30,45,7.22222222222222,30,-1.11111111111111,0.09,0.2286
1,31,46,7.77777777777778,30,-1.11111111111111,0.09,0.2286
2,1,46,7.77777777777778,30,-1.11111111111111,0.09,0.2286
2,2,46,7.77777777777778,30,-1.11111111111111,0.1,0.254
2,3,46,7.77777777777778,30,-1.11111111111111,0.09,0.2286
2,4,46,7.77777777777778,30,-1.11111111111111,0.1,0.254
2,5,46,7.77777777777778,30,-1.11111111111111,0.09,0.2286
2,6,46,7.77777777777778,30,-1.11111111111111,0.09,0.2286
2,7,47,8.33333333333333,31,-0.555555555555556,0.09,0.2286
2,8,47,8.33333333333333,31,-0.555555555555556,0.09,0.2286
2,9,47,8.33333333333333,31,-0.555555555555556,0.09,0.2286
2,10,47,8.33333333333333,31,-0.555555555555556,0.09,0.2286
2,11,47,8.33333333333333,31,-0.555555555555556,0.09,0.2286
2,12,48,8.88888888888889,31,-0.555555555555556,0.09,0.2286
2,13,48,8.88888888888889,31,-0.555555555555556,0.09,0.2286
2,14,48,8.88888888888889,32,0,0.09,0.2286
2,15,48,8.88888888888889,32,0,0.1,0.254
2,16,49,9.44444444444444,32,0,0.09,0.2286
2,17,49,9.44444444444444,32,0,0.1,0.254
2,18,49,9.44444444444444,32,0,0.1,0.254
2,19,49,9.44444444444444,33,0.555555555555556,0.09,0.2286
2,20,49,9.44444444444444,33,0.555555555555556,0.09,0.2286
2,21,50,10,33,0.555555555555556,0.09,0.2286
2,22,50,10,33,0.555555555555556,0.1,0.254
2,23,50,10,33,0.555555555555556,0.1,0.254
2,24,50,10,34,1.11111111111111,0.1,0.254
2,25,51,10.5555555555556,34,1.11111111111111,0.09,0.2286
2,26,51,10.5555555555556,34,1.11111111111111,0.1,0.254
2,27,51,10.5555555555556,34,1.11111111111111,0.09,0.2286
2,28,52,11.1111111111111,34,1.11111111111111,0.1,0.254
2,29,52,11.1111111111111,34,1.11111111111111,0.1,0.254
3,1,52,11.1111111111111,35,1.66666666666667,0.1,0.254
3,2,52,11.1111111111111,35,1.66666666666667,0.1,0.254
3,3,52,11.1111111111111,35,1.66666666666667,0.1,0.254
3,4,53,11.6666666666667,35,1.66666666666667,0.1,0.254
3,5,53,11.6666666666667,36,2.22222222222222,0.1,0.254
3,6,53,11.6666666666667,36,2.22222222222222,0.11,0.2794
3,7,53,11.6666666666667,36,2.22222222222222,0.11,0.2794
3,8,54,12.2222222222222,36,2.22222222222222,0.12,0.3048
3,9,54,12.2222222222222,37,2.77777777777778,0.11,0.2794
3,10,54,12.2222222222222,37,2.77777777777778,0.11,0.2794
3,11,55,12.7777777777778,37,2.77777777777778,0.11,0.2794
3,12,55,12.7777777777778,37,2.77777777777778,0.11,0.2794
3,13,55,12.7777777777778,38,3.33333333333333,0.12,0.3048
3,14,56,13.3333333333333,38,3.33333333333333,0.12,0.3048
3,15,56,13.3333333333333,38,3.33333333333333,0.12,0.3048
3,16,56,13.3333333333333,39,3.88888888888889,0.12,0.3048
3,17,57,13.8888888888889,39,3.88888888888889,0.12,0.3048
3,18,57,13.8888888888889,39,3.88888888888889,0.12,0.3048
3,19,57,13.8888888888889,39,3.88888888888889,0.12,0.3048
3,20,58,14.4444444444444,40,4.44444444444444,0.12,0.3048
3,21,58,14.4444444444444,40,4.44444444444444,0.11,0.2794
3,22,58,14.4444444444444,40,4.44444444444444,0.12,0.3048
3,23,59,15,41,5,0.11,0.2794
3,24,59,15,41,5,0.12,0.3048
3,25,60,15.5555555555556,41,5,0.11,0.2794
3,26,60,15.5555555555556,42,5.55555555555556,0.12,0.3048
3,27,60,15.5555555555556,42,5.55555555555556,0.11,0.2794
3,28,61,16.1111111111111,42,5.55555555555556,0.11,0.2794
3,29,61,16.1111111111111,42,5.55555555555556,0.12,0.3048
3,30,62,16.6666666666667,43,6.11111111111111,0.12,0.3048
3,31,62,16.6666666666667,43,6.11111111111111,0.11,0.2794
4,1,62,16.6666666666667,43,6.11111111111111,0.11,0.2794
4,2,63,17.2222222222222,44,6.66666666666667,0.11,0.2794
4,3,63,17.2222222222222,44,6.66666666666667,0.11,0.2794
4,4,64,17.7777777777778,45,7.22222222222222,0.1,0.254
4,5,64,17.7777777777778,45,7.22222222222222,0.1,0.254
4,6,65,18.3333333333333,45,7.22222222222222,0.1,0.254
4,7,65,18.3333333333333,46,7.77777777777778,0.1,0.254
4,8,65,18.3333333333333,46,7.77777777777778,0.11,0.2794
4,9,66,18.8888888888889,46,7.77777777777778,0.11,0.2794
4,10,66,18.8888888888889,47,8.33333333333333,0.1,0.254
4,11,67,19.4444444444444,47,8.33333333333333,0.1,0.254
4,12,67,19.4444444444444,47,8.33333333333333,0.1,0.254
4,13,67,19.4444444444444,48,8.88888888888889,0.1,0.254
4,14,68,20,48,8.88888888888889,0.1,0.254
4,15,68,20,48,8.88888888888889,0.1,0.254
4,16,68,20,49,9.44444444444444,0.1,0.254
4,17,69,20.5555555555556,49,9.44444444444444,0.1,0.254
4,18,69,20.5555555555556,49,9.44444444444444,0.11,0.2794
4,19,70,21.1111111111111,50,10,0.1,0.254
4,20,70,21.1111111111111,50,10,0.11,0.2794
4,21,70,21.1111111111111,50,10,0.11,0.2794
4,22,71,21.6666666666667,51,10.5555555555556,0.11,0.2794
4,23,71,21.6666666666667,51,10.5555555555556,0.11,0.2794
4,24,71,21.6666666666667,51,10.5555555555556,0.11,0.2794
4,25,71,21.6666666666667,52,11.1111111111111,0.11,0.2794
4,26,72,22.2222222222222,52,11.1111111111111,0.12,0.3048
4,27,72,22.2222222222222,52,11.1111111111111,0.12,0.3048
4,28,72,22.2222222222222,53,11.6666666666667,0.11,0.2794
4,29,73,22.7777777777778,53,11.6666666666667,0.12,0.3048
4,30,73,22.7777777777778,53,11.6666666666667,0.12,0.3048
5,1,73,22.7777777777778,54,12.2222222222222,0.12,0.3048
5,2,73,22.7777777777778,54,12.2222222222222,0.12,0.3048
5,3,74,23.3333333333333,54,12.2222222222222,0.13,0.3302
5,4,74,23.3333333333333,54,12.2222222222222,0.13,0.3302
5,5,74,23.3333333333333,55,12.7777777777778,0.12,0.3048
5,6,74,23.3333333333333,55,12.7777777777778,0.13,0.3302
5,7,74,23.3333333333333,55,12.7777777777778,0.12,0.3048
5,8,75,23.8888888888889,56,13.3333333333333,0.13,0.3302
5,9,75,23.8888888888889,56,13.3333333333333,0.12,0.3048
5,10,75,23.8888888888889,56,13.3333333333333,0.13,0.3302
5,11,75,23.8888888888889,57,13.8888888888889,0.12,0.3048
5,12,76,24.4444444444444,57,13.8888888888889,0.13,0.3302
5,13,76,24.4444444444444,57,13.8888888888889,0.13,0.3302
5,14,76,24.4444444444444,57,13.8888888888889,0.13,0.3302
5,15,76,24.4444444444444,58,14.4444444444444,0.13,0.3302
5,16,76,24.4444444444444,58,14.4444444444444,0.12,0.3048
5,17,77,25,58,14.4444444444444,0.13,0.3302
5,18,77,25,59,15,0.13,0.3302
5,19,77,25,59,15,0.13,0.3302
5,20,77,25,59,15,0.13,0.3302
5,21,78,25.5555555555556,60,15.5555555555556,0.13,0.3302
5,22,78,25.5555555555556,60,15.5555555555556,0.13,0.3302
5,23,78,25.5555555555556,60,15.5555555555556,0.13,0.3302
5,24,78,25.5555555555556,60,15.5555555555556,0.13,0.3302
5,25,79,26.1111111111111,61,16.1111111111111,0.13,0.3302
5,26,79,26.1111111111111,61,16.1111111111111,0.13,0.3302
5,27,79,26.1111111111111,61,16.1111111111111,0.13,0.3302
5,28,80,26.6666666666667,62,16.6666666666667,0.12,0.3048
5,29,80,26.6666666666667,62,16.6666666666667,0.13,0.3302
5,30,80,26.6666666666667,62,16.6666666666667,0.13,0.3302
5,31,80,26.6666666666667,63,17.2222222222222,0.12,0.3048
6,1,81,27.2222222222222,63,17.2222222222222,0.13,0.3302
6,2,81,27.2222222222222,63,17.2222222222222,0.12,0.3048
6,3,81,27.2222222222222,64,17.7777777777778,0.13,0.3302
6,4,82,27.7777777777778,64,17.7777777777778,0.13,0.3302
6,5,82,27.7777777777778,64,17.7777777777778,0.13,0.3302
6,6,82,27.7777777777778,65,18.3333333333333,0.14,0.3556
6,7,83,28.3333333333333,65,18.3333333333333,0.13,0.3302
6,8,83,28.3333333333333,65,18.3333333333333,0.14,0.3556
6,9,83,28.3333333333333,66,18.8888888888889,0.13,0.3302
6,10,84,28.8888888888889,66,18.8888888888889,0.14,0.3556
6,11,84,28.8888888888889,66,18.8888888888889,0.13,0.3302
6,12,84,28.8888888888889,67,19.4444444444444,0.14,0.3556
6,13,85,29.4444444444444,67,19.4444444444444,0.15,0.381
6,14,85,29.4444444444444,67,19.4444444444444,0.15,0.381
6,15,85,29.4444444444444,68,20,0.14,0.3556
6,16,86,30,68,20,0.14,0.3556
6,17,86,30,68,20,0.15,0.381
6,18,86,30,68,20,0.14,0.3556
6,19,86,30,69,20.5555555555556,0.13,0.3302
6,20,87,30.5555555555556,69,20.5555555555556,0.14,0.3556
6,21,87,30.5555555555556,69,20.5555555555556,0.14,0.3556
6,22,87,30.5555555555556,70,21.1111111111111,0.14,0.3556
6,23,87,30.5555555555556,70,21.1111111111111,0.14,0.3556
6,24,88,31.1111111111111,70,21.1111111111111,0.15,0.381
6,25,88,31.1111111111111,70,21.1111111111111,0.15,0.381
6,26,88,31.1111111111111,70,21.1111111111111,0.15,0.381
6,27,88,31.1111111111111,71,21.6666666666667,0.15,0.381
6,28,89,31.6666666666667,71,21.6666666666667,0.15,0.381
6,29,89,31.6666666666667,71,21.6666666666667,0.15,0.381
6,30,89,31.6666666666667,71,21.6666666666667,0.15,0.381
7,1,89,31.6666666666667,71,21.6666666666667,0.16,0.4064
7,2,89,31.6666666666667,72,22.2222222222222,0.15,0.381
7,3,89,31.6666666666667,72,22.2222222222222,0.15,0.381
7,4,89,31.6666666666667,72,22.2222222222222,0.14,0.3556
7,5,89,31.6666666666667,72,22.2222222222222,0.14,0.3556
7,6,90,32.2222222222222,72,22.2222222222222,0.14,0.3556
7,7,90,32.2222222222222,72,22.2222222222222,0.14,0.3556
7,8,90,32.2222222222222,72,22.2222222222222,0.15,0.381
7,9,90,32.2222222222222,72,22.2222222222222,0.15,0.381
7,10,90,32.2222222222222,72,22.2222222222222,0.15,0.381
7,11,90,32.2222222222222,73,22.7777777777778,0.14,0.3556
7,12,90,32.2222222222222,73,22.7777777777778,0.14,0.3556
7,13,90,32.2222222222222,73,22.7777777777778,0.15,0.381
7,14,90,32.2222222222222,73,22.7777777777778,0.14,0.3556
7,15,90,32.2222222222222,73,22.7777777777778,0.15,0.381
